Name,undergradEnrollment,freshmenFinAidPercent,tuitionFees2013_14,geographicRegion,control,HBCU,Tribal college,degreeUrbanization,perc_AmericanIndianAlaskaNative,perc_Asian,perc_BlackAfricanAmerican,perc_HispanicLatino,perc_NativeHawaiian_OtherPacificIslander,perc_White,perc_MutiRacial,perc_RaceUnknown,perc_NonresidentAlien,perc_Women,perc_FreshmenPellGrants,perc_FreshmenInstGrantAid,numPOC,perc_POC,numWhite,tuition1000Dollar,controlPublic,HBCUYes,geographicRegion_factor,degreeUrbanization_factor
Fairleigh Dickinson University-College at Florham,2274,99,37348,Mid East,Private not-for-profit,No,No,Suburb,1,4,11,14,0,60,2,8,1,55,39,99,682.2,30.000000000000004,1364.3999999999999,37.348,0,0,Mid East,Suburb
Georgian Court University,1567,99,29606,Mid East,Private not-for-profit,No,No,City,0,2,14,11,0,48,2,22,1,81,60,91,423.09000000000003,27,752.16,29.606,0,0,Mid East,City
Rowan University,10951,83,12380,Mid East,Public,No,No,Suburb,0,4,8,9,0,72,2,3,1,49,30,44,2299.71,21,7884.719999999999,12.38,1,0,Mid East,Suburb
New Jersey City University,6437,90,10653,Mid East,Public,No,No,City,0,8,21,35,0,25,1,9,1,60,73,9,4119.679999999999,63.99999999999999,1609.25,10.653,1,0,Mid East,City
Kean University,12078,78,10918,Mid East,Public,No,No,Suburb,0,6,19,24,0,39,2,8,1,60,45,14,5918.22,49.00000000000001,4710.42,10.918,1,0,Mid East,Suburb
Monmouth University,4607,100,31018,Mid East,Private not-for-profit,No,No,Suburb,0,3,5,9,0,77,2,4,1,59,25,98,783.1899999999999,17,3547.39,31.018,0,0,Mid East,Suburb
Montclair State University,15431,77,11318,Mid East,Public,No,No,Suburb,0,5,9,23,0,47,3,9,2,61,41,10,5709.47,37,7252.57,11.318,1,0,Mid East,Suburb
New Jersey Institute of Technology,7317,87,15218,Mid East,Public,No,No,City,0,19,8,19,0,31,2,17,4,24,35,47,3365.82,46,2268.27,15.218,1,0,Mid East,City
Princeton University,5323,60,40170,Mid East,Private not-for-profit,No,No,Suburb,0,20,8,8,0,47,4,3,11,49,14,60,1916.2800000000002,36.00000000000001,2501.81,40.17,0,0,Mid East,Suburb
Ramapo College of New Jersey,5614,78,13388,Mid East,Public,No,No,Suburb,0,6,5,13,0,66,1,7,1,56,23,33,1347.36,24,3705.2400000000002,13.388,1,0,Mid East,Suburb
Rider University,4425,98,35270,Mid East,Private not-for-profit,No,No,Suburb,0,4,10,10,0,64,2,5,4,59,28,97,1062,24,2832,35.27,0,0,Mid East,Suburb
Rutgers University-Camden,4842,85,13348,Mid East,Public,No,No,City,0,9,17,11,0,56,3,2,1,55,40,47,1791.54,37,2711.5200000000004,13.348,1,0,Mid East,City
Rutgers University-New Brunswick,33901,76,13499,Mid East,Public,No,No,City,0,25,8,12,0,45,3,2,4,50,29,49,15255.45,45,15255.45,13.499,1,0,Mid East,City
Rutgers University-Newark,7217,80,12998,Mid East,Public,No,No,City,0,22,18,23,0,25,3,6,3,50,49,35,4546.71,63,1804.25,12.998,1,0,Mid East,City
Saint Peter's University,2484,100,32284,Mid East,Private not-for-profit,No,No,City,1,10,28,28,0,24,2,5,2,61,64,99,1664.2800000000002,67,596.16,32.284,0,0,Mid East,City
Seton Hall University,5839,98,35820,Mid East,Private not-for-profit,No,No,Suburb,0,8,13,17,0,49,2,7,4,59,26,96,2218.82,38,2861.11,35.82,0,0,Mid East,Suburb
College of Saint Elizabeth,987,99,31095,Mid East,Private not-for-profit,No,No,Suburb,0,3,26,15,0,39,1,11,4,92,72,99,434.28000000000003,44,384.93,31.095,0,0,Mid East,Suburb
Stevens Institute of Technology,2691,98,44490,Mid East,Private not-for-profit,No,No,Suburb,0,10,2,9,0,60,0,15,4,28,21,97,565.11,21,1614.6,44.49,0,0,Mid East,Suburb
The Richard Stockton College of New Jersey,7539,87,12322,Mid East,Public,No,No,Suburb,0,5,6,10,0,74,3,1,0,59,32,45,1583.19,21.000000000000004,5578.86,12.322,1,0,Mid East,Suburb
The College of New Jersey,6653,83,14730,Mid East,Public,No,No,Suburb,0,9,5,11,0,66,1,7,0,57,19,45,1663.25,25,4390.9800000000005,14.73,1,0,Mid East,Suburb
William Paterson University of New Jersey,10027,87,11918,Mid East,Public,No,No,Suburb,0,6,14,24,0,46,2,6,1,55,40,30,4411.88,44,4612.42,11.918,1,0,Mid East,Suburb
Eastern New Mexico University-Main Campus,4567,99,4558,Southwest,Public,No,No,Town,3,1,4,34,0,45,2,7,3,56,55,44,1918.14,42.00000000000001,2055.15,4.558,1,0,Southwest,Town
New Mexico Highlands University,2396,95,4000,Southwest,Public,No,No,Town,8,1,6,56,0,19,2,2,6,60,61,68,1701.16,71.00000000000001,455.24,4,1,0,Southwest,Town
New Mexico Institute of Mining and Technology,1604,96,5714,Southwest,Public,No,No,Town,3,3,2,26,0,59,3,0,3,30,32,84,545.36,34,946.3599999999999,5.714,1,0,Southwest,Town
University of New Mexico-Main Campus,22416,98,6846,Southwest,Public,No,No,City,6,3,3,44,0,37,3,2,2,56,38,52,12552.960000000001,56.00000000000001,8293.92,6.846,1,0,Southwest,City
New Mexico State University-Main Campus,13582,97,6220,Southwest,Public,No,No,Suburb,2,1,3,52,0,32,1,4,4,53,46,39,7877.560000000001,58.00000000000001,4346.24,6.22,1,0,Southwest,Suburb
Northern New Mexico College,1653,91,4060,Southwest,Public,No,No,Town,13,1,1,69,0,11,3,2,0,57,70,8,1388.52,84,181.83,4.06,1,0,Southwest,Town
University of the Southwest,318,100,14280,Southwest,Private not-for-profit,No,No,Rural,3,0,13,40,1,25,0,18,1,50,54,100,181.26000000000002,57.00000000000001,79.5,14.28,0,0,Southwest,Rural
Western New Mexico University,2849,97,4723,Southwest,Public,No,No,Town,4,1,4,51,0,24,0,14,1,61,67,5,1709.3999999999999,60,683.76,4.723,1,0,Southwest,Town
Vaughn College of Aeronautics and Technology,1724,94,20450,Mid East,Private not-for-profit,No,No,City,1,10,20,35,3,17,6,6,2,12,75,85,1189.56,69,293.08000000000004,20.45,0,0,Mid East,City
Adelphi University,5040,96,30800,Mid East,Private not-for-profit,No,No,Suburb,0,8,11,13,0,53,2,9,4,69,32,94,1612.8,32,2671.2000000000003,30.8,0,0,Mid East,Suburb
Alfred University,1960,100,25430,Mid East,Private not-for-profit,No,No,Town,0,2,8,7,0,66,3,12,3,51,40,100,333.20000000000005,17,1293.6000000000001,25.43,0,0,Mid East,Town
Bard College,2014,75,46370,Mid East,Private not-for-profit,No,No,Town,1,4,6,2,0,61,0,14,12,56,23,69,261.82,13,1228.54,46.37,0,0,Mid East,Town
Barnard College,2489,49,44790,Mid East,Private not-for-profit,No,No,City,0,15,5,11,0,57,5,0,7,100,18,39,771.59,31,1418.7299999999998,44.79,0,0,Mid East,City
Boricua College,1050,96,11025,Mid East,Private not-for-profit,No,No,City,0,0,15,83,0,1,0,0,0,77,93,1,1029,98,10.5,11.025,0,0,Mid East,City
Canisius College,3084,99,33332,Mid East,Private not-for-profit,No,No,City,0,2,7,3,0,73,2,8,4,50,37,98,370.08000000000004,12.000000000000002,2251.32,33.332,0,0,Mid East,City
Cazenovia College,1077,100,29410,Mid East,Private not-for-profit,No,No,Town,1,1,8,7,1,72,4,6,0,72,47,99,193.86,18.000000000000004,775.4399999999999,29.41,0,0,Mid East,Town
Clarkson University,3110,100,40540,Mid East,Private not-for-profit,No,No,Town,0,3,2,4,0,82,2,2,4,28,29,99,279.9,9,2550.2,40.54,0,0,Mid East,Town
Colgate University,2890,41,46380,Mid East,Private not-for-profit,No,No,Town,0,3,4,8,0,68,4,4,8,55,12,41,433.50000000000006,15.000000000000002,1965.2,46.38,0,0,Mid East,Town
Metropolitan College of New York,911,95,17530,Mid East,Private not-for-profit,No,No,City,1,2,59,20,1,5,2,8,3,71,82,79,756.1300000000001,83,45.550000000000004,17.53,0,0,Mid East,City
Columbia University in the City of New York,7970,57,49138,Mid East,Private not-for-profit,No,No,City,1,17,7,14,0,39,4,4,14,47,15,49,3108.3,39,3108.3,49.138,0,0,Mid East,City
Concordia College-New York,887,94,28095,Mid East,Private not-for-profit,No,No,Suburb,0,3,22,23,0,34,2,1,15,67,58,94,425.76,48,301.58000000000004,28.095,0,0,Mid East,Suburb
Cooper Union for the Advancement of Science and Art,868,100,41400,Mid East,Private not-for-profit,No,No,City,1,18,6,9,0,36,4,16,10,36,15,100,295.11999999999995,33.99999999999999,312.47999999999996,41.4,0,0,Mid East,City
Cornell University,14393,64,45358,Mid East,Private not-for-profit,No,No,City,0,16,6,11,0,42,4,10,10,51,15,50,4749.6900000000005,33,6045.0599999999995,45.358,0,0,Mid East,City
CUNY Bernard M Baruch College,14082,70,6210,Mid East,Public,No,No,City,0,34,9,16,0,28,1,0,12,48,46,15,8308.380000000001,59.00000000000001,3942.9600000000005,6.21,1,0,Mid East,City
CUNY Brooklyn College,13596,70,6184,Mid East,Public,No,No,City,0,17,24,17,0,37,1,0,3,59,52,6,7885.680000000001,58.00000000000001,5030.5199999999995,6.184,1,0,Mid East,City
College of Staten Island CUNY,13465,71,6158,Mid East,Public,No,No,City,0,11,13,20,0,52,1,0,3,55,55,1,5924.6,44,7001.8,6.158,1,0,Mid East,City
CUNY City College,12501,79,6089,Mid East,Public,No,No,City,0,23,18,33,0,17,1,0,7,52,63,5,9250.74,74,2125.17,6.089,1,0,Mid East,City
CUNY Hunter College,16689,69,6129,Mid East,Public,No,No,City,0,24,10,25,1,32,2,0,6,65,50,6,10013.4,60,5340.4800000000005,6.129,1,0,Mid East,City
CUNY John Jay College of Criminal Justice,13217,77,6059,Mid East,Public,No,No,City,0,11,19,43,1,22,1,0,3,56,64,0,9780.58,74,2907.7400000000002,6.059,1,0,Mid East,City
CUNY Lehman College,9886,86,6108,Mid East,Public,No,No,City,0,6,28,53,0,8,0,0,4,68,74,8,8600.820000000002,87.00000000000001,790.88,6.108,1,0,Mid East,City
CUNY Medgar Evers College,6477,91,6032,Mid East,Public,No,No,City,0,2,83,9,0,2,1,0,3,74,84,0,6088.38,94,129.54,6.032,1,0,Mid East,City
CUNY New York City College of Technology,16860,86,6069,Mid East,Public,No,No,City,0,18,32,31,0,13,1,0,5,44,77,0,13656.6,81,2191.8,6.069,1,0,Mid East,City
CUNY Queens College,15351,61,6207,Mid East,Public,No,No,City,0,25,7,27,0,35,1,0,5,56,46,4,9057.090000000002,59.00000000000001,5372.8499999999995,6.207,1,0,Mid East,City
CUNY York College,8261,81,6096,Mid East,Public,No,No,City,1,23,42,22,1,7,1,0,4,65,72,1,7352.29,89,578.2700000000001,6.096,1,0,Mid East,City
D'Youville College,2023,100,22850,Mid East,Private not-for-profit,No,No,City,1,3,12,5,0,68,2,3,6,73,38,99,424.83000000000004,21.000000000000004,1375.64,22.85,0,0,Mid East,City
Daemen College,2156,100,24090,Mid East,Private not-for-profit,No,No,Suburb,0,2,13,5,0,72,1,5,1,73,41,99,431.20000000000005,20,1552.32,24.09,0,0,Mid East,Suburb
Dominican College of Blauvelt,1527,99,24790,Mid East,Private not-for-profit,No,No,Suburb,0,6,13,27,0,25,2,26,0,66,50,99,702.4200000000001,46,381.75,24.79,0,0,Mid East,Suburb
Dowling College,2314,93,28390,Mid East,Private not-for-profit,No,No,Suburb,0,2,8,8,0,49,0,29,4,56,45,90,416.52,18,1133.86,28.39,0,0,Mid East,Suburb
Elmira College,1408,99,38150,Mid East,Private not-for-profit,No,No,City,0,1,3,3,0,67,2,19,4,72,33,99,98.56,7.000000000000001,943.36,38.15,0,0,Mid East,City
Fashion Institute of Technology,9566,69,5105,Mid East,Public,No,No,City,0,10,9,16,0,46,3,2,13,85,33,15,3348.1,35,4400.360000000001,5.105,1,0,Mid East,City
Fordham University,8345,92,43902,Mid East,Private not-for-profit,No,No,City,0,9,4,14,0,61,3,3,6,54,20,92,2253.15,27,5090.45,43.902,0,0,Mid East,City
Hamilton College,1926,58,46080,Mid East,Private not-for-profit,No,No,Rural,0,7,4,8,0,62,3,12,5,51,18,54,365.94,19,1194.12,46.08,0,0,Mid East,Rural
Hartwick College,1618,100,38930,Mid East,Private not-for-profit,No,No,Town,1,2,6,6,0,69,0,14,3,59,36,100,242.7,15,1116.4199999999998,38.93,0,0,Mid East,Town
Hilbert College,1020,98,19940,Mid East,Private not-for-profit,No,No,Suburb,2,0,9,2,0,72,3,10,1,55,57,95,132.6,13,734.4,19.94,0,0,Mid East,Suburb
Hobart William Smith Colleges,2368,81,46165,Mid East,Private not-for-profit,No,No,Town,1,2,4,6,0,68,0,14,5,54,17,77,307.84000000000003,13,1610.24,46.165,0,0,Mid East,Town
Hofstra University,6826,96,37400,Mid East,Private not-for-profit,No,No,Suburb,0,8,9,13,1,58,3,6,3,53,23,92,2116.06,31,3959.08,37.4,0,0,Mid East,Suburb
Houghton College,1081,100,27728,Mid East,Private not-for-profit,No,No,Rural,0,1,3,2,0,84,3,1,6,64,44,100,64.86,6,908.04,27.728,0,0,Mid East,Rural
Iona College,3539,98,32770,Mid East,Private not-for-profit,No,No,Suburb,0,2,7,17,0,54,1,16,2,54,31,97,920.14,26,1911.0600000000002,32.77,0,0,Mid East,Suburb
Ithaca College,6234,92,38400,Mid East,Private not-for-profit,No,No,Suburb,0,3,5,7,0,69,3,11,2,56,19,87,935.1000000000001,15.000000000000002,4301.46,38.4,0,0,Mid East,Suburb
Keuka College,1830,100,27465,Mid East,Private not-for-profit,No,No,Town,1,1,8,3,0,76,1,7,3,77,46,98,237.9,13,1390.8,27.465,0,0,Mid East,Town
Le Moyne College,2785,100,30460,Mid East,Private not-for-profit,No,No,City,1,3,6,6,0,77,2,6,1,59,34,100,445.6,16,2144.4500000000003,30.46,0,0,Mid East,City
LIU Brooklyn,5006,97,34120,Mid East,Private not-for-profit,No,No,City,0,16,32,16,0,20,1,12,2,70,71,96,3203.84,64,1001.2,34.12,0,0,Mid East,City
LIU Post,7983,96,34070,Mid East,Private not-for-profit,No,No,Suburb,0,6,7,12,0,57,1,11,6,58,38,95,1995.75,25,4550.3099999999995,34.07,0,0,Mid East,Suburb
Manhattan College,3403,92,35725,Mid East,Private not-for-profit,No,No,City,0,4,4,18,0,60,2,9,2,44,31,91,884.7800000000001,26,2041.8,35.725,0,0,Mid East,City
Manhattanville College,1719,99,35370,Mid East,Private not-for-profit,No,No,Suburb,0,1,7,12,0,23,1,46,9,64,39,98,343.8,20,395.37,35.37,0,0,Mid East,Suburb
Marist College,5566,88,31290,Mid East,Private not-for-profit,No,No,Suburb,0,2,4,8,0,70,2,12,1,59,14,85,779.2400000000001,14.000000000000002,3896.2,31.29,0,0,Mid East,Suburb
Marymount Manhattan College,1833,92,26640,Mid East,Private not-for-profit,No,No,City,1,4,10,16,0,58,1,6,5,77,30,88,568.2300000000001,31.000000000000007,1063.1399999999999,26.64,0,0,Mid East,City
Medaille College,1727,92,23812,Mid East,Private not-for-profit,No,No,City,0,1,20,4,1,63,3,5,2,67,60,89,449.02000000000004,26,1088.01,23.812,0,0,Mid East,City
Mercy College,8154,95,17576,Mid East,Private not-for-profit,No,No,Suburb,0,3,24,33,0,31,2,6,0,69,71,87,4892.4000000000005,60.00000000000001,2527.74,17.576,0,0,Mid East,Suburb
Molloy College,3375,97,25710,Mid East,Private not-for-profit,No,No,Suburb,0,7,13,14,1,62,1,2,0,74,30,92,1181.25,35,2092.5,25.71,0,0,Mid East,Suburb
Mount Saint Mary College,2203,99,26250,Mid East,Private not-for-profit,No,No,Suburb,1,2,7,12,0,63,1,13,0,70,32,99,484.66,22,1387.89,26.25,0,0,Mid East,Suburb
College of Mount Saint Vincent,1669,100,30290,Mid East,Private not-for-profit,No,No,City,0,9,17,34,0,27,5,6,2,72,62,99,1001.4000000000002,60.00000000000001,450.63000000000005,30.29,0,0,Mid East,City
Nazareth College,2034,100,29624,Mid East,Private not-for-profit,No,No,Suburb,1,3,5,4,0,72,1,12,2,73,31,100,264.42,13,1464.48,29.624,0,0,Mid East,Suburb
The College of New Rochelle,3225,100,31260,Mid East,Private not-for-profit,No,No,Suburb,0,2,52,13,0,6,1,26,0,90,89,95,2160.75,67,193.5,31.26,0,0,Mid East,Suburb
The New School,6777,95,40426,Mid East,Private not-for-profit,No,No,City,0,10,5,10,0,35,3,5,31,72,26,94,1694.25,25,2371.95,40.426,0,0,Mid East,City
New York University,22615,55,44848,Mid East,Private not-for-profit,No,No,City,0,18,5,10,0,39,3,11,14,60,20,46,7462.949999999999,32.99999999999999,8819.85,44.848,0,0,Mid East,City
Niagara University,2896,98,28200,Mid East,Private not-for-profit,No,No,Suburb,1,1,6,4,0,75,2,7,5,58,38,98,347.52,12,2172,28.2,0,0,Mid East,Suburb
New York Institute of Technology,4456,97,30780,Mid East,Private not-for-profit,No,No,Suburb,0,12,8,12,0,19,1,35,13,37,42,90,1425.92,32,846.64,30.78,0,0,Mid East,Suburb
Nyack College,1831,100,23250,Mid East,Private not-for-profit,No,No,Suburb,0,10,29,28,0,24,2,2,5,61,58,100,1226.77,67,439.44,23.25,0,0,Mid East,Suburb
Pace University-New York,8289,99,38069,Mid East,Private not-for-profit,No,No,City,0,9,11,16,0,47,3,6,8,59,42,99,2984.04,36,3895.83,38.069,0,0,Mid East,City
Paul Smiths College of Arts and Science,981,99,25261,Mid East,Private not-for-profit,No,No,Rural,0,0,1,3,0,68,1,25,0,34,48,98,39.24,4,667.08,25.261,0,0,Mid East,Rural
Polytechnic Institute of New York University,2155,94,41328,Mid East,Private not-for-profit,No,No,City,0,34,6,9,0,29,0,12,10,24,42,93,1055.95,49.00000000000001,624.9499999999999,41.328,0,0,Mid East,City
Rensselaer Polytechnic Institute,5452,95,46269,Mid East,Private not-for-profit,No,No,City,0,10,2,7,0,64,6,2,8,30,15,94,1035.88,19.000000000000004,3489.28,46.269,0,0,Mid East,City
Roberts Wesleyan College,1315,100,27364,Mid East,Private not-for-profit,No,No,Suburb,0,1,13,6,0,74,3,1,3,70,44,100,263,20,973.1,27.364,0,0,Mid East,Suburb
Rochester Institute of Technology,13880,95,34424,Mid East,Private not-for-profit,No,No,Suburb,0,6,5,6,0,61,2,16,5,32,31,89,2359.6,17,8466.8,34.424,0,0,Mid East,Suburb
University of Rochester,6177,89,45372,Mid East,Private not-for-profit,No,No,City,0,10,5,6,0,54,3,7,15,52,18,87,1297.17,21.000000000000004,3335.5800000000004,45.372,0,0,Mid East,City
The Sage Colleges,1699,98,28000,Mid East,Private not-for-profit,No,No,City,0,3,13,8,0,61,3,12,0,79,60,97,407.76,24,1036.3899999999999,28,0,0,Mid East,City
St Bonaventure University,1826,99,29589,Mid East,Private not-for-profit,No,No,Town,0,4,5,6,0,66,1,15,2,51,29,99,273.9,15,1205.16,29.589,0,0,Mid East,Town
St Francis College,2764,98,20700,Mid East,Private not-for-profit,No,No,City,0,3,20,22,1,37,2,9,5,56,46,91,1271.44,46,1022.68,20.7,0,0,Mid East,City
St Lawrence University,2414,95,46040,Mid East,Private not-for-profit,No,No,Town,0,2,3,4,0,80,2,0,8,55,20,94,217.26,9,1931.2,46.04,0,0,Mid East,Town
The College of Saint Rose,2891,99,27684,Mid East,Private not-for-profit,No,No,City,1,2,7,5,0,72,5,7,1,66,38,98,433.6500000000001,15.000000000000002,2081.52,27.684,0,0,Mid East,City
St Thomas Aquinas College,1801,97,26340,Mid East,Private not-for-profit,No,No,Suburb,0,3,7,16,0,59,2,11,1,53,36,89,468.26,26,1062.59,26.34,0,0,Mid East,Suburb
Sarah Lawrence College,1471,78,48696,Mid East,Private not-for-profit,No,No,Suburb,0,4,4,9,0,55,5,12,11,72,14,70,250.06999999999996,17,809.0500000000001,48.696,0,0,Mid East,Suburb
Siena College,3151,98,31368,Mid East,Private not-for-profit,No,No,Suburb,0,4,4,7,0,80,2,1,2,53,24,98,472.6500000000001,15.000000000000002,2520.8,31.368,0,0,Mid East,Suburb
Skidmore College,2684,57,45874,Mid East,Private not-for-profit,No,No,Suburb,0,6,4,9,0,63,4,8,7,61,13,45,509.96,19,1690.92,45.874,0,0,Mid East,Suburb
Saint Joseph's College-New York,4529,96,21878,Mid East,Private not-for-profit,No,No,City,1,3,10,12,0,59,1,10,5,69,34,92,1177.54,26,2672.1099999999997,21.878,0,0,Mid East,City
Saint John Fisher College,2959,100,28430,Mid East,Private not-for-profit,No,No,Suburb,0,3,4,4,0,83,1,4,0,60,29,100,325.49000000000007,11.000000000000004,2455.97,28.43,0,0,Mid East,Suburb
St John's University-New York,15773,98,37260,Mid East,Private not-for-profit,No,No,City,0,16,15,16,0,40,3,4,4,55,43,97,7413.3099999999995,47,6309.200000000001,37.26,0,0,Mid East,City
SUNY College of Technology at Alfred,3555,94,7294,Mid East,Public,No,No,Town,0,1,10,6,0,79,2,1,1,40,55,78,604.3499999999999,17,2808.4500000000003,7.294,1,0,Mid East,Town
SUNY College of Technology at Canton,3512,96,7181,Mid East,Public,No,No,Town,1,1,13,7,0,69,1,4,2,56,66,81,772.64,22,2423.2799999999997,7.181,1,0,Mid East,Town
SUNY College of Technology at Delhi,3308,91,7200,Mid East,Public,No,No,Town,0,2,14,12,0,64,2,5,1,53,59,74,926.2400000000001,28.000000000000004,2117.12,7.2,1,0,Mid East,Town
SUNY College of Agriculture and Technology at Cobleskill,2453,90,7149,Mid East,Public,No,No,Town,0,1,11,10,0,76,0,0,1,52,54,73,539.66,21.999999999999996,1864.28,7.149,1,0,Mid East,Town
Farmingdale State College,8162,68,7125,Mid East,Public,No,No,Suburb,0,7,10,15,0,61,2,1,3,42,33,45,2611.84,32,4978.82,7.125,1,0,Mid East,Suburb
Morrisville State College,3028,94,7412,Mid East,Public,No,No,Rural,1,1,18,7,0,68,2,2,1,48,65,11,817.5600000000001,27,2059.04,7.412,1,0,Mid East,Rural
SUNY at Albany,12822,79,8040,Mid East,Public,No,No,City,0,8,14,13,0,53,3,4,5,48,36,56,4487.700000000001,35,6795.660000000001,8.04,1,0,Mid East,City
SUNY at Binghamton,12997,61,8144,Mid East,Public,No,No,Suburb,0,14,5,10,0,54,2,4,11,47,24,37,3769.1300000000006,29.000000000000004,7018.38,8.144,1,0,Mid East,Suburb
University at Buffalo,19831,75,8211,Mid East,Public,No,No,Suburb,0,13,7,7,0,49,2,6,17,46,31,27,5354.370000000001,27,9717.19,8.211,1,0,Mid East,Suburb
Stony Brook University,15992,80,7995,Mid East,Public,No,No,Suburb,0,24,6,10,0,37,2,9,11,46,34,54,6396.8,40,5917.04,7.995,1,0,Mid East,Suburb
SUNY College of Environmental Science and Forestry,1702,90,7033,Mid East,Public,No,No,City,0,3,1,2,0,87,2,2,2,43,23,82,102.11999999999999,6,1480.74,7.033,1,0,Mid East,City
SUNY Institute of Technology at Utica-Rome,1804,92,7090,Mid East,Public,No,No,Suburb,0,3,7,5,0,81,2,0,1,41,45,82,270.6,15.000000000000002,1461.24,7.09,1,0,Mid East,Suburb
SUNY College at Brockport,7090,87,7222,Mid East,Public,No,No,Town,0,1,8,5,0,74,2,9,1,55,38,64,992.6000000000001,14.000000000000002,5246.6,7.222,1,0,Mid East,Town
Buffalo State SUNY,9355,87,7022,Mid East,Public,No,No,City,0,2,20,9,0,63,3,0,1,57,50,68,2900.05,31,5893.65,7.022,1,0,Mid East,City
SUNY College at Cortland,6400,84,7327,Mid East,Public,No,No,Town,0,1,4,10,0,71,2,11,1,56,26,55,960.0000000000001,15.000000000000002,4544,7.327,1,0,Mid East,Town
SUNY at Fredonia,5092,87,7400,Mid East,Public,No,No,Town,0,2,5,5,0,81,1,4,3,55,35,25,611.0400000000001,12.000000000000002,4124.52,7.4,1,0,Mid East,Town
SUNY College at Geneseo,5504,59,7430,Mid East,Public,No,No,Town,0,7,3,6,0,75,2,4,3,58,18,36,880.64,16,4128,7.43,1,0,Mid East,Town
State University of New York at New Paltz,6570,73,7083,Mid East,Public,No,No,Suburb,0,5,5,11,0,67,0,9,3,63,29,45,1379.7,21.000000000000004,4401.9000000000005,7.083,1,0,Mid East,Suburb
SUNY Oneonta,5800,79,7230,Mid East,Public,No,No,Town,0,2,3,9,0,82,0,3,1,60,27,50,812.0000000000001,14.000000000000002,4756,7.23,1,0,Mid East,Town
SUNY College at Oswego,7328,91,7181,Mid East,Public,No,No,Town,0,2,6,9,0,79,2,0,2,52,40,44,1245.76,17,5789.12,7.181,1,0,Mid East,Town
SUNY College at Potsdam,3707,91,7174,Mid East,Public,No,No,Town,1,1,7,8,0,72,3,6,1,57,46,73,630.19,17,2669.04,7.174,1,0,Mid East,Town
SUNY at Purchase College,4239,82,7573,Mid East,Public,No,No,Suburb,0,3,8,18,0,56,4,9,2,56,34,26,1229.31,28.999999999999996,2373.84,7.573,1,0,Mid East,Suburb
SUNY College at Old Westbury,4161,77,6624,Mid East,Public,No,No,Suburb,0,9,30,21,0,33,3,2,1,58,52,59,2496.6,60,1373.13,6.624,1,0,Mid East,Suburb
SUNY College at Plattsburgh,5639,91,7179,Mid East,Public,No,No,Town,0,2,6,8,0,71,2,4,6,56,34,76,902.24,16,4003.6899999999996,7.179,1,0,Mid East,Town
SUNY Empire State College,10827,94,6265,Mid East,Public,No,No,Suburb,0,2,14,10,0,64,2,4,3,62,78,16,2815.02,26,6929.28,6.265,1,0,Mid East,Suburb
SUNY Maritime College,1601,76,7109,Mid East,Public,No,No,City,0,4,4,9,0,71,1,9,3,11,20,33,272.16999999999996,17,1136.71,7.109,1,0,Mid East,City
Syracuse University,15097,74,40458,Mid East,Private not-for-profit,No,No,City,1,8,9,11,0,55,3,5,9,55,26,69,4378.13,28.999999999999996,8303.35,40.458,0,0,Mid East,City
Touro College,6827,84,15250,Mid East,Private not-for-profit,No,No,City,0,4,15,10,0,61,0,7,3,69,61,61,1979.8300000000002,29.000000000000004,4164.47,15.25,0,0,Mid East,City
Union College,2246,81,46785,Mid East,Private not-for-profit,No,No,City,0,6,4,7,0,75,2,0,7,46,14,75,381.82000000000005,17,1684.5,46.785,0,0,Mid East,City
Utica College,2881,99,33320,Mid East,Private not-for-profit,No,No,City,1,3,10,8,0,69,2,4,3,61,47,97,633.82,22.000000000000004,1987.8899999999999,33.32,0,0,Mid East,City
Vassar College,2477,71,47890,Mid East,Private not-for-profit,No,No,Suburb,0,9,6,11,0,61,6,0,7,56,23,60,644.02,26,1510.97,47.89,0,0,Mid East,Suburb
Wagner College,1842,99,39220,Mid East,Private not-for-profit,No,No,City,0,2,6,9,0,66,2,11,3,65,21,99,313.14,17,1215.72,39.22,0,0,Mid East,City
Wells College,534,100,35900,Mid East,Private not-for-profit,No,No,Rural,1,2,11,8,0,63,3,8,4,66,56,100,117.48000000000002,22.000000000000004,336.42,35.9,0,0,Mid East,Rural
Yeshiva University,2887,84,37600,Mid East,Private not-for-profit,No,No,City,0,0,0,0,0,92,0,1,6,47,17,83,0,0,2656.04,37.6,0,0,Mid East,City
Appalachian State University,16025,67,6462,Southeast,Public,No,No,Town,0,1,3,4,0,86,2,2,1,53,24,34,1282,8,13781.5,6.462,1,0,Southeast,Town
Barton College,1057,100,25396,Southeast,Private not-for-profit,No,No,Town,1,1,25,4,0,59,3,6,2,69,52,100,327.67,31,623.63,25.396,0,0,Southeast,Town
Belmont Abbey College,1647,100,18500,Southeast,Private not-for-profit,No,No,Suburb,0,1,27,2,0,37,0,30,2,58,36,90,494.1000000000001,30.000000000000004,609.39,18.5,0,0,Southeast,Suburb
Bennett College,680,100,17355,Southeast,Private not-for-profit,Yes,No,City,0,0,89,2,0,0,1,6,0,100,84,59,618.8000000000001,91.00000000000001,0,17.355,0,1,Southeast,City
Brevard College,701,99,25200,Southeast,Private not-for-profit,No,No,Town,1,1,10,0,0,75,2,5,6,38,44,98,84.12,12.000000000000002,525.75,25.2,0,0,Southeast,Town
