Name,undergradEnrollment,freshmenFinAidPercent,tuitionFees2013_14,geographicRegion,control,HBCU,Tribal college,degreeUrbanization,perc_AmericanIndianAlaskaNative,perc_Asian,perc_BlackAfricanAmerican,perc_HispanicLatino,perc_NativeHawaiian_OtherPacificIslander,perc_White,perc_MutiRacial,perc_RaceUnknown,perc_NonresidentAlien,perc_Women,perc_FreshmenPellGrants,perc_FreshmenInstGrantAid,numPOC,perc_POC,numWhite,tuition1000Dollar,controlPublic,HBCUYes,geographicRegion_factor,degreeUrbanization_factor
Colorado State University-Fort Collins,23548,73,9313,Rocky Mountains,Public,No,No,City,0,2,2,9,0,75,3,5,3,51,24,45,3061.2400000000002,13,17661,9.313,1,0,Rocky Mountains,City
College America-Denver,497,95,17211,Rocky Mountains,Private not-for-profit,No,No,City,1,3,20,33,0,42,1,0,0,78,89,76,283.29,57.00000000000001,208.73999999999998,17.211,0,0,Rocky Mountains,City
University of Denver,5517,85,40707,Rocky Mountains,Private not-for-profit,No,No,City,1,4,3,9,0,68,3,3,9,55,17,83,937.8899999999999,17,3751.5600000000004,40.707,0,0,Rocky Mountains,City
Fort Lewis College,3984,91,6923,Rocky Mountains,Public,No,No,Town,22,1,1,9,0,57,6,3,2,49,31,72,1314.72,33,2270.8799999999997,6.923,1,0,Rocky Mountains,Town
Colorado Mesa University,9576,90,6725,Rocky Mountains,Public,No,No,City,1,1,2,14,1,73,4,4,0,55,43,27,1819.4400000000003,19.000000000000004,6990.48,6.725,1,0,Rocky Mountains,City
Metropolitan State University of Denver,22289,68,5744,Rocky Mountains,Public,No,No,City,1,3,6,21,0,61,3,4,0,54,40,13,6909.59,31,13596.289999999999,5.744,1,0,Rocky Mountains,City
Naropa University,383,63,28790,Rocky Mountains,Private not-for-profit,No,No,City,0,1,1,8,0,65,9,12,3,64,42,54,38.300000000000004,10,248.95000000000002,28.79,0,0,Rocky Mountains,City
University of Northern Colorado,9947,90,6968,Rocky Mountains,Public,No,No,City,0,2,4,16,0,58,3,15,2,63,36,76,2188.34,22,5769.259999999999,6.968,1,0,Rocky Mountains,City
Regis University,5172,98,32424,Rocky Mountains,Private not-for-profit,No,No,City,1,4,5,17,0,61,2,9,1,63,28,98,1396.44,27,3154.92,32.424,0,0,Rocky Mountains,City
Colorado State University-Pueblo,5207,94,7327,Rocky Mountains,Public,No,No,City,1,2,7,29,0,50,3,6,1,56,50,41,2030.73,39,2603.5,7.327,1,0,Rocky Mountains,City
Western State Colorado University,2193,91,7343,Rocky Mountains,Public,No,No,Town,0,1,2,9,0,68,2,17,1,42,31,66,263.15999999999997,11.999999999999998,1491.24,7.343,1,0,Rocky Mountains,Town
Albertus Magnus College,1278,83,28378,New England,Private not-for-profit,No,No,City,0,1,28,14,0,45,1,11,0,65,43,83,549.5400000000001,43.00000000000001,575.1,28.378,0,0,New England,City
University of Bridgeport,2835,93,29090,New England,Private not-for-profit,No,No,City,1,3,35,18,0,27,2,0,14,66,60,93,1615.9499999999998,56.99999999999999,765.45,29.09,0,0,New England,City
Central Connecticut State University,9771,84,8706,New England,Public,No,No,Suburb,0,3,11,11,0,68,2,3,1,48,34,60,2442.75,25,6644.280000000001,8.706,1,0,New England,Suburb
Connecticut College,1915,53,46085,New England,Private not-for-profit,No,No,City,0,3,4,9,0,70,3,6,5,61,12,44,306.40000000000003,16.000000000000004,1340.5,46.085,0,0,New England,City
University of Connecticut,18032,77,12022,New England,Public,No,No,Suburb,0,9,5,8,0,63,3,8,4,49,18,62,3967.0400000000004,22.000000000000004,11360.16,12.022,1,0,New England,Suburb
Eastern Connecticut State University,5179,82,9376,New England,Public,No,No,Town,0,3,6,9,0,70,2,8,1,54,26,48,932.2199999999999,18,3625.2999999999997,9.376,1,0,New England,Town
Fairfield University,3873,89,42920,New England,Private not-for-profit,No,No,Suburb,0,2,3,8,0,70,1,15,2,60,13,85,503.49,13,2711.1,42.92,0,0,New England,Suburb
University of Hartford,5187,98,33358,New England,Private not-for-profit,No,No,City,1,3,15,9,0,58,2,7,5,50,32,98,1452.3600000000001,28.000000000000004,3008.4599999999996,33.358,0,0,New England,City
Mitchell College,866,100,29458,New England,Private not-for-profit,No,No,City,1,2,13,7,0,68,5,3,1,46,35,97,199.18,23,588.88,29.458,0,0,New England,City
University of New Haven,4864,95,33740,New England,Private not-for-profit,No,No,Suburb,0,2,8,8,0,52,1,20,7,49,28,95,875.52,18,2529.28,33.74,0,0,New England,Suburb
Quinnipiac University,6542,89,39330,New England,Private not-for-profit,No,No,Suburb,0,2,4,8,0,78,2,3,2,62,15,86,915.8800000000001,14.000000000000002,5102.76,39.33,0,0,New England,Suburb
Sacred Heart University,4489,95,35050,New England,Private not-for-profit,No,No,Suburb,0,2,3,6,0,66,0,21,1,64,16,94,493.79,11,2962.7400000000002,35.05,0,0,New England,Suburb
University of Saint Joseph,1049,100,33417,New England,Private not-for-profit,No,No,City,0,3,12,12,0,53,2,18,0,98,38,98,283.23,27,555.97,33.417,0,0,New England,City
Southern Connecticut State University,8257,81,9020,New England,Public,No,No,City,0,2,15,11,0,60,2,7,0,61,33,24,2311.9599999999996,27.999999999999996,4954.2,9.02,1,0,New England,City
Trinity College,2301,41,47510,New England,Private not-for-profit,No,No,City,0,4,6,7,0,64,3,6,8,49,10,38,391.17,17,1472.64,47.51,0,0,New England,City
Wesleyan University,2906,51,47244,New England,Private not-for-profit,No,No,City,0,8,7,10,0,53,6,8,9,52,18,44,726.5,25,1540.18,47.244,0,0,New England,City
Western Connecticut State University,5492,81,8893,New England,Public,No,No,City,0,3,11,14,0,68,1,2,0,53,30,3,1537.7600000000002,28.000000000000004,3734.5600000000004,8.893,1,0,New England,City
Yale University,5430,61,44000,New England,Private not-for-profit,No,No,City,1,16,7,10,0,47,6,2,11,49,13,50,1846.2,34,2552.1,44,0,0,New England,City
Delaware State University,3892,97,7336,Mid East,Public,Yes,No,City,0,1,72,5,0,11,4,2,5,62,58,56,3035.76,78,428.12,7.336,1,1,Mid East,City
University of Delaware,18487,82,12112,Mid East,Public,No,No,Suburb,0,4,5,7,0,75,3,1,4,57,14,51,2957.92,16,13865.25,12.112,1,0,Mid East,Suburb
Wesley College,1600,97,23590,Mid East,Private not-for-profit,No,No,City,0,1,39,5,0,43,3,8,0,52,50,93,720,45,688,23.59,0,0,Mid East,City
Wilmington University,8611,87,9950,Mid East,Private not-for-profit,No,No,Suburb,1,2,23,3,0,48,0,20,3,65,45,14,2497.1900000000005,29.000000000000004,4133.28,9.95,0,0,Mid East,Suburb
American University,7340,80,40649,Mid East,Private not-for-profit,No,No,City,0,6,6,10,0,55,5,9,8,61,19,71,1614.8,22,4037.0000000000005,40.649,0,0,Mid East,City
Catholic University of America,3713,95,38526,Mid East,Private not-for-profit,No,No,City,0,3,6,10,0,62,3,11,5,54,11,93,705.47,19,2302.06,38.526,0,0,Mid East,City
University of the District of Columbia,4712,86,5138,Mid East,Public,Yes,No,City,0,2,61,8,0,5,1,21,3,63,70,6,3345.52,71,235.60000000000002,5.138,1,1,Mid East,City
Gallaudet University,1077,88,13800,Mid East,Private not-for-profit,No,No,City,0,4,11,14,0,60,3,0,7,54,48,75,312.33000000000004,29.000000000000004,646.1999999999999,13.8,0,0,Mid East,City
George Washington University,10357,68,47343,Mid East,Private not-for-profit,No,No,City,0,9,7,7,0,60,3,4,9,55,12,65,2382.11,23,6214.2,47.343,0,0,Mid East,City
Georgetown University,7636,53,44805,Mid East,Private not-for-profit,No,No,City,0,9,6,8,0,57,4,4,13,55,14,41,1756.28,23,4352.5199999999995,44.805,0,0,Mid East,City
Howard University,6974,93,22683,Mid East,Private not-for-profit,Yes,No,City,2,1,91,0,0,1,0,0,3,67,47,63,6555.56,94,69.74,22.683,0,1,Mid East,City
Trinity Washington University,1853,99,21630,Mid East,Private not-for-profit,No,No,City,0,1,71,14,0,2,1,10,1,95,84,99,1593.58,86,37.06,21.63,0,0,Mid East,City
Barry University,4341,97,28160,Southeast,Private not-for-profit,No,No,Suburb,0,1,32,29,0,20,1,8,8,62,63,96,2691.42,62,868.2,28.16,0,0,Southeast,Suburb
Bethune-Cookman University,3724,99,14410,Southeast,Private not-for-profit,Yes,No,City,0,0,89,3,0,2,2,1,2,59,80,79,3426.08,92,74.48,14.41,0,1,Southeast,City
Lynn University,1785,79,33600,Southeast,Private not-for-profit,No,No,City,1,2,10,12,0,38,0,14,23,47,19,77,446.25,25,678.3,33.6,0,0,Southeast,City
Carlos Albizu University-Miami,294,100,12048,Southeast,Private not-for-profit,No,No,Suburb,0,1,2,81,0,2,0,4,10,74,100,0,246.96000000000004,84.00000000000001,5.88,12.048,0,0,Southeast,Suburb
